Eckersley,Rulebased,Randomforest,LSTM-3,bidiLSTM-3,LSTM-4,bidiLSTM-4,LSTM-5,bidiLSTM-5,LSTM-6,bidiLSTM-6,LSTM-7,bidiLSTM-7,LSTM-8,bidiLSTM-8
14.9478673,2.507109005,1.687203791,7.336492891,7.298578199,7.336492891,6.990521327,7.336492891,6.848341232,7.336492891,7.336492891,7.917582418,7.928571429,8.355828221,8.355828221
9.744075829,2.44549763,1.687203791,6.838862559,6.777251185,6.838862559,6.407582938,6.838862559,6.308056872,6.838862559,6.838862559,7.357142857,7.324175824,7.754601227,7.754601227
7.772511848,2.279620853,1.720379147,6.568720379,6.497630332,6.568720379,6.137440758,6.568720379,6.09478673,6.568720379,6.568720379,7.054945055,7.005494505,7.429447853,7.429447853
6.734597156,2.246445498,1.658767773,6.222748815,6.142180095,6.222748815,5.862559242,6.222748815,5.739336493,6.222748815,6.222748815,6.67032967,6.604395604,7.024539877,7.024539877
6.033175355,2.199052133,1.710900474,5.90521327,5.834123223,5.900473934,5.545023697,5.90521327,5.417061611,5.90521327,5.90521327,6.324175824,6.285714286,6.619631902,6.619631902
5.701421801,2.165876777,1.682464455,5.696682464,5.654028436,5.691943128,5.407582938,5.696682464,5.251184834,5.696682464,5.696682464,6.082417582,6.021978022,6.380368098,6.380368098
5.478672986,2.27014218,1.739336493,5.473933649,5.412322275,5.473933649,5.222748815,5.473933649,5.161137441,5.473933649,5.473933649,5.884615385,5.862637363,6.110429448,6.110429448
5.056872038,2.180094787,1.72985782,5.27014218,5.251184834,5.27014218,5.123222749,5.27014218,5.042654028,5.27014218,5.27014218,5.642857143,5.615384615,5.895705521,5.889570552
4.848341232,2.170616114,1.748815166,5.075829384,5.066350711,5.071090047,4.90521327,5.075829384,4.886255924,5.075829384,5.075829384,5.456043956,5.412087912,5.656441718,5.656441718
4.516587678,2.151658768,1.691943128,4.82464455,4.805687204,4.819905213,4.616113744,4.82464455,4.601895735,4.82464455,4.82464455,5.137362637,5.093406593,5.337423313,5.337423313
4.369668246,2.132701422,1.691943128,4.739336493,4.725118483,4.739336493,4.597156398,4.739336493,4.521327014,4.739336493,4.739336493,5.021978022,4.983516484,5.202453988,5.202453988
4.151658768,2.132701422,1.668246445,4.563981043,4.55450237,4.563981043,4.483412322,4.563981043,4.355450237,4.563981043,4.563981043,4.857142857,4.835164835,5.061349693,5.061349693
4.018957346,2.090047393,1.691943128,4.388625592,4.369668246,4.388625592,4.251184834,4.388625592,4.127962085,4.388625592,4.388625592,4.708791209,4.686813187,4.871165644,4.871165644
3.924170616,2.066350711,1.677725118,4.298578199,4.293838863,4.298578199,4.194312796,4.298578199,4.09478673,4.298578199,4.298578199,4.60989011,4.582417582,4.754601227,4.754601227
3.800947867,1.966824645,1.696682464,4.170616114,4.165876777,4.170616114,4.071090047,4.170616114,3.962085308,4.170616114,4.170616114,4.450549451,4.428571429,4.607361963,4.607361963
3.630331754,1.971563981,1.668246445,4.042654028,4.033175355,4.042654028,3.962085308,4.042654028,3.867298578,4.042654028,4.042654028,4.318681319,4.313186813,4.484662577,4.484662577
3.587677725,2.075829384,1.71563981,3.966824645,3.962085308,3.966824645,3.933649289,3.966824645,3.872037915,3.966824645,3.966824645,4.225274725,4.21978022,4.380368098,4.380368098
3.511848341,2.066350711,1.668246445,3.834123223,3.829383886,3.834123223,3.81042654,3.834123223,3.71563981,3.834123223,3.834123223,4.076923077,4.065934066,4.233128834,4.233128834
3.421800948,1.886255924,1.677725118,3.772511848,3.767772512,3.772511848,3.748815166,3.772511848,3.672985782,3.772511848,3.772511848,4,3.989010989,4.134969325,4.134969325
3.289099526,1.895734597,1.677725118,3.63507109,3.630331754,3.63507109,3.611374408,3.63507109,3.530805687,3.63507109,3.63507109,3.862637363,3.857142857,3.987730061,3.987730061
