Eckersley,Rulebased,Randomforest,LSTM-3,bidiLSTM-3,LSTM-4,bidiLSTM-4,LSTM-5,bidiLSTM-5,LSTM-6,bidiLSTM-6,LSTM-7,bidiLSTM-7,LSTM-8,bidiLSTM-8
4.219682868,31.41254826,46.67960199,10.14211886,10.01646505,10.14211886,10.2319301,10.14211886,10.28533739,10.14211886,10.14211886,9.943789035,9.861052754,9.661527166,9.661527166
6.273356744,31.48769841,46.03383085,10.02356202,9.930414858,10.01456311,10.17793345,10.02356202,10.2579975,10.02356202,10.02356202,9.844660194,9.826128205,9.547468354,9.547468354
7.394083156,33.21070664,44.22813411,9.584415584,9.517437453,9.584415584,9.684806132,9.584415584,9.518450056,9.584415584,9.584415584,9.408878505,9.245919209,9.111478117,9.090174129
8.223052118,32.97613883,45.49497992,9.392231531,9.218167072,9.392231531,9.485916225,9.392231531,9.297315664,9.392231531,9.392231531,9.232289951,9.060112194,8.897816594,8.871391076
8.670652174,32.89269912,43.08551992,9.173354735,9.072671156,9.140499195,9.256341463,9.173354735,9.355723492,9.173354735,9.164658635,9.009556907,8.805658627,8.767377201,8.758898174
8.523645997,32.72972973,43.08482143,8.770382696,8.619827586,8.767306088,8.6836,8.770382696,8.867811102,8.770382696,8.770382696,8.634146341,8.471360153,8.319230769,8.304431599
8.441236209,30.18656716,41.03113027,8.515151515,8.444195093,8.49349523,8.569566701,8.515151515,8.419292984,8.515151515,8.515151515,8.261437908,8.025080906,8.08935743,8.076787513
8.782051282,31.05309735,40.87984496,8.237410072,8.090769703,8.216216216,7.985632763,8.237410072,8.002056738,8.237410072,8.237410072,8.031158715,7.81314459,7.758584807,7.752261656
8.540190217,30.08370536,39.40811966,7.890756303,7.715204957,7.866573034,7.628548896,7.890756303,7.40730071,7.890756303,7.890756303,7.613293051,7.427151966,7.467462039,7.467462039
9.044236378,29.98881432,40.27614858,7.878192534,7.726358149,7.878937008,7.655082212,7.878192534,7.671420158,7.878192534,7.878192534,7.743315508,7.609240554,7.540229885,7.540229885
8.745180046,29.52828054,39.52212389,7.293,7.101832994,7.293,7.107433217,7.293,7.180705363,7.293,7.293,7.257111597,7.166723679,7.08254717,7.08254717
8.791871153,28.66968326,39.42857143,7.065420561,6.924050633,7.065420561,6.816168328,7.065420561,7.188544153,7.065420561,7.065420561,6.923076923,6.818076477,6.603636364,6.603636364
8.754533886,28.89722864,38.03739003,6.963282937,6.842105263,6.963282937,6.65353717,6.963282937,7.086842798,6.963282937,6.963282937,6.674445741,6.485138387,6.483627204,6.483627204
8.540782998,28.85046729,38.19353234,6.606394708,6.404255319,6.606394708,6.431267382,6.606394708,6.628855091,6.606394708,6.606394708,6.290822408,6.213706407,6.16,6.16
8.222101723,30.14705882,36.79093567,6.357954545,6.208381171,6.357954545,6.215243902,6.357954545,6.200524246,6.357954545,6.357954545,6.166666667,6.046144121,5.972037284,5.972037284
8.535480722,29.01463415,36.5988024,6.058616647,5.931198102,6.058616647,6.024630542,6.058616647,5.971025447,6.058616647,6.058616647,5.801526718,5.746478873,5.493844049,5.493844049
7.990854764,26.28886311,34.8689438,5.727598566,5.615523466,5.727598566,5.492523751,5.727598566,5.56416882,5.727598566,5.727598566,5.504551365,5.491623037,5.214285714,5.214285714
7.852124431,25.51048951,35.50593472,5.540173053,5.47826087,5.540173053,5.383248731,5.540173053,5.475202156,5.540173053,5.540173053,5.312668464,5.24691358,5.060869565,5.060869565
7.861519608,29.32608696,35.07153392,5.275125628,5.212389381,5.275125628,5.062580645,5.275125628,5.108946412,5.275125628,5.275125628,5.167582418,5.138696255,4.961424332,4.961424332
7.691476267,28.19796954,33.85630499,5.162972621,5.065616798,5.162972621,4.984423676,5.162972621,5.094630193,5.162972621,5.162972621,5.007112376,4.978540773,4.830769231,4.830769231
