Eckersley,Rulebased,Randomforest,LSTM-3,bidiLSTM-3,LSTM-4,bidiLSTM-4,LSTM-5,bidiLSTM-5,LSTM-6,bidiLSTM-6,LSTM-7,bidiLSTM-7,LSTM-8,bidiLSTM-8
0.981960245,0.995733019,0.98522774,1,0.992256968,1,0.962761169,1,0.953299646,1,1,1,0.997325875,1,1
0.976889571,0.995189355,0.983681003,1,0.991793454,0.999916782,0.963595148,1,0.953857418,1,1,1,0.995270669,1,1
0.977304203,0.993468542,0.984839382,1,0.988686304,1,0.965565251,1,0.955604743,1,1,1,0.990562023,1,0.999425097
0.974862006,0.992105612,0.987377988,1,0.986536995,1,0.967872293,1,0.956725149,1,1,1,0.988735356,1,0.999583386
0.975636957,0.992351381,0.988136816,1,0.99075835,0.999712707,0.969424335,1,0.960123048,1,0.999919679,1,0.98842728,1,0.999831181
0.976168815,0.991152275,0.984833679,1,0.992442841,0.999669037,0.96953408,1,0.960103752,1,1,1,0.99027774,1,0.999737257
0.969387453,0.993432441,0.986484532,1,0.993250894,0.999779733,0.97592595,1,0.969022546,1,1,1,0.993566615,1,0.99972535
0.973373022,0.994868208,0.984325453,1,0.995315179,0.999737237,0.982385948,1,0.974820096,1,1,1,0.993359937,1,0.999686848
0.974556549,0.992917482,0.98674784,1,0.995532027,0.999398074,0.982761881,1,0.975463181,1,1,1,0.992015148,1,1
0.971405975,0.99461223,0.987642701,1,0.995473201,0.999859393,0.982192489,1,0.974291032,1,1,1,0.993337523,1,1
0.976163776,0.993865299,0.986617074,1,0.995880209,1,0.984923917,1,0.97825578,1,1,1,0.994765788,1,1
0.975407079,0.993864077,0.987032661,1,0.996867674,1,0.989766375,1,0.983104617,1,1,1,0.996856747,1,1
0.970646897,0.994011129,0.986306199,1,0.996855856,1,0.985050382,1,0.977783417,1,1,1,0.995865045,1,1
0.970144541,0.993953556,0.983621307,1,0.996120622,1,0.988615075,1,0.983437881,1,1,1,0.996849534,1,1
0.973571112,0.994555855,0.987064594,1,0.997852769,1,0.991139532,1,0.984073236,1,1,1,0.99738025,1,1
0.970076208,0.994769651,0.985330689,1,0.997514546,1,0.99457515,1,0.986315112,1,1,1,0.999039693,1,1
0.969725325,0.994367107,0.986446358,1,0.998845338,1,0.994543238,1,0.989638487,1,1,1,0.999272832,1,1
0.968858586,0.994826473,0.987851309,1,0.99908607,1,0.996046352,1,0.990123605,1,1,1,0.998037646,1,1
0.968313553,0.993909596,0.987140976,1,0.9988622,1,0.99576037,1,0.990071035,1,1,1,0.998844198,1,1
0.968794693,0.995029612,0.988852938,1,0.998928259,1,0.996562083,1,0.990265367,1,1,1,0.999284692,1,1
