nb_fingerprints,nb_cores,nb_processes,avg,max,min,median,q1,q3
5000,2,1,0.001596,0.010941,0.000298,0.000415,0.000364,0.001368
5000,2,2,0.001462,0.008213,0.000331,0.000579,0.000435,0.001474
5000,2,4,0.001851,0.008407,0.000539,0.000951,0.000825,0.001736
5000,2,8,0.007219,0.108272,0.000815,0.002241,0.001417,0.004242
10000,2,1,0.002176,0.014256,0.000184,0.000459,0.000346,0.000730
10000,2,2,0.001956,0.011606,0.000265,0.000567,0.000387,0.001097
10000,2,4,0.002500,0.010059,0.000667,0.001090,0.000850,0.003518
10000,2,8,0.009884,0.186659,0.000751,0.002093,0.001335,0.004861
15000,2,1,0.003958,0.024588,0.000308,0.000544,0.000415,0.001304
15000,2,2,0.002446,0.016159,0.000368,0.000752,0.000492,0.002353
15000,2,4,0.003318,0.019207,0.000563,0.001131,0.000821,0.002074
15000,2,8,0.013611,0.233402,0.000820,0.002754,0.001486,0.008025
