assigned_id,nb_assigned_ids,nb_fingerprints,ownership,id_ownership
448b8781-4165-46a2-a7d9-4f309739fa8f,2,8,0.625000,1d39f953-a08e-494e-acf6-e594832b010a
d6635ebb-5c3e-4396-a9f2-46c78f99b1d9,1,5,1.000000,e99b3521-4e62-4230-b899-85c9dbed1921
a3329068-b525-484b-b9e8-81f7f64e468e,1,20,1.000000,2c383b80-2256-4ece-81d4-c81290a10a14
1567c2f6-4ad9-42e5-a220-0ebc205f4f2e,1,5,1.000000,c33e02f8-4665-4d6c-8781-4a5c991889da
b6098a05-5d25-47ab-bd0c-ab3d3e65ccbe,1,11,1.000000,d7969eaf-cd67-4ac5-b060-393d864f8525
5bae2a14-51ae-424e-a11f-ed89236fc13f,1,5,1.000000,9a750eec-46c2-4720-b481-a0d6f03af47b
012c662d-0ea0-436c-875e-882f83bef775,1,4,1.000000,1a2a7fa6-a936-4e87-a513-50ea19f0483e
9b7743b3-4a67-4d30-bd67-afb613bf4f8d,4,64,0.421875,2657b615-04b0-4c11-8343-1245c9c07676
f2a97d42-30c6-4a80-ab71-eaf347a3502a,1,1,1.000000,3284e414-8b55-431b-996f-5e5cf9e96ed9
ce56c2c5-4743-4d67-9385-773f8f897693,1,29,1.000000,2bef0281-b2d9-41ac-967c-45835e5ba8c0
8ae04931-6a55-4966-b5c4-d5c907c2a554,1,1,1.000000,7ce6f4e7-3343-4519-8d80-7b97f0fa9e57
9744fe4a-b1b9-4d8a-8594-266f3c345ea4,1,1,1.000000,ad30762b-ff39-441d-a0f7-d388fcb65c5d
84b95ceb-1442-4a93-aca5-efc098948c34,1,22,1.000000,5ac34c91-a3b4-4a11-a940-a4babf02057f
4748844c-0619-42ec-8699-f4c8e3824480,1,1,1.000000,6703acf0-f2c1-4b80-a158-fbbe091d3948
218ac96a-ee82-414e-8796-0100819ea004,1,1,1.000000,a3f79161-ce4f-4ec0-9c53-67b5d89375d4
6b4cfb52-80a8-480d-be3b-8d00c95e758b,1,17,1.000000,bb86048e-c4fd-4bc1-8fda-a4fb5b391a14
f599fec1-12ea-4ee2-b948-a8295f67cfab,1,25,1.000000,1729815c-0eca-4350-ab5c-5ce2c530fcd4
fb743d5a-fbde-454b-930e-4414c2012eb2,1,15,1.000000,595525a1-8ff1-493d-bdef-74ecb74d182b
b963bc12-a1de-43eb-8a4b-3c8dca76d109,1,2,1.000000,8e7f3b7f-2631-4b94-a2ae-31e8f02f07cd
b3fdc88c-00bd-47f0-b8a8-4bfa9c16d8ac,2,39,0.743590,f4f25187-82c7-4265-9bf9-71bc8ed1701f
d392a4f0-a7af-4471-98e5-091c877f0f2f,2,18,0.944444,59751180-e355-4bfc-b5a2-5c571dfc6efa
6f58ceaf-1cca-4f1b-ab79-c4daa117a5a8,1,11,1.000000,b31c10f0-ddb3-4d3f-b6b1-6ac865523ec8
0a4bff90-de97-4b23-96c2-d36fa3ba10fb,1,25,1.000000,30f64336-9100-4dbf-b67b-4a2096a38da9
1a78b662-6600-4c3f-8188-4570035d5ff1,1,28,1.000000,5e3d6bde-1451-4103-89a6-c67d81f63ed6
edd7fc04-4dbf-4ff2-8092-bd34dbf5bc8b,1,21,1.000000,8e72a8bd-ae9b-460b-9573-aba4b21efb12
cb82d1f0-b4ca-4eae-9e1e-884c567d7ee1,1,25,1.000000,17b99863-8bfd-492d-8451-374fd7cde36c
03e4d266-4231-4f1d-841d-1c3f19567985,1,4,1.000000,628a06f1-ca1e-4e6e-9b38-5e23da554b53
edbcc06c-d978-4de5-bb6d-7ba2262b967b,1,32,1.000000,15f3a523-0299-4249-8ccc-fee0b320040f
5d86082d-61ea-4e90-8837-68313bbdf14d,1,4,1.000000,8a0fe7de-deff-4ffa-acbf-192cb2d37b39
6e796766-1506-4811-a8e6-16dc6a9d5404,1,30,1.000000,f61809d2-a428-4a2c-81e4-461ea9908687
89450dcb-59d7-4d25-80e2-1ef6eb43e1e8,1,25,1.000000,68942969-0475-4a26-931b-d1d8043a659c
5226350b-3206-4ae4-a018-889a95e8bf78,1,1,1.000000,1bc74fba-d84b-4bcc-9386-cb329e96d9e3
2434bf35-864f-4a3c-a3b5-f25349d96a8b,1,32,1.000000,c17f5405-360e-43d7-9b50-bccf6faf2207
57180e33-f679-48b3-91fa-d1d843879fcf,2,16,0.937500,b598bd23-8da8-4ecf-8ed7-f22321137698
20136f7d-31ce-45b4-ab41-46299e58034d,1,3,1.000000,3080614b-46eb-4c0d-b1ff-b9dc13bbc44b
baae9f9e-7f31-49b0-8915-91e55affe8af,1,1,1.000000,d4be492d-c9ee-46a0-b1ab-076386b61b85
565848b8-aa69-41aa-b785-302350d7df9e,1,30,1.000000,4f84b332-20fa-45e8-b9e0-e9fd0839492a
0edc402d-712c-44e0-a8bf-2f48fa422298,1,31,1.000000,efca79c2-0b12-4ce7-a28f-68ad9193990d
f2387b59-ca4c-40b3-9b5b-68e011a84738,1,13,1.000000,5e1920ed-d676-4151-a8ff-1153e7b7561f
f42f9037-c84e-4a6c-b330-1defd394cb3b,2,41,0.731707,68e7ae29-15ff-402c-adc1-76d5a932c984
bd2b6ccd-ba67-4ad9-8887-cc13ff6ae2a1,2,18,0.944444,d4be492d-c9ee-46a0-b1ab-076386b61b85
2bab0fa2-843e-4cb0-9fb7-66bd2f01d14f,1,1,1.000000,142269c1-304f-434d-be4c-cbe566ba1379
16d88231-77ae-4d0f-8a56-358a75ce1cae,1,32,1.000000,b8f4eb79-baaf-442b-ada2-5bcd5cf89df4
7f38e468-d961-4ecd-b653-f4b0aff7ddcc,1,1,1.000000,8537fdf9-7619-499b-b288-a3cfa1ee546f
51e21e85-a96c-46bd-8439-d8ec479ae379,1,26,1.000000,5e5bd954-ae5a-4f7d-a16b-85bc7f3203e5
847964ec-f4d9-4705-a26c-e89a3c301f4f,1,27,1.000000,adf5227c-74ef-49bf-b9fc-2fb8cf302732
b7094837-f060-43b3-b271-e1ec1f18b012,1,30,1.000000,4f2ed62c-2a18-4888-86c1-aa01ba21b64f
75aee79b-d8c6-44e4-a0a5-49b3366f4381,1,12,1.000000,8b10f12f-516a-44ee-9e79-134d040d1ef4
bc4f47e8-54e4-42a6-8fee-f5960c8be37c,1,3,1.000000,be47e9a1-0600-40bc-8360-0fc2c99c4ca2
b1f696ea-2a0b-4262-9ea0-e0fc8cce1a6b,1,26,1.000000,21cbaff6-4d5f-4083-9edf-9523563b74ae
76df4eca-552e-4244-a62d-b5e370d93322,1,16,1.000000,4d49cfb2-841d-4a04-81cb-7d1b39a507b4
57156e27-6d07-416a-b15b-e60aa14bf28e,1,18,1.000000,9a8ce184-8911-4e32-be51-261497e0d919
a767d843-31fa-4cef-b823-7f9a3bc88060,1,11,1.000000,3284e414-8b55-431b-996f-5e5cf9e96ed9
e9e7c82a-8dfe-43fe-8cdb-c413e91a9dd4,1,10,1.000000,ad30762b-ff39-441d-a0f7-d388fcb65c5d
b6456eb2-289d-4326-9ddd-e4223c9486aa,1,13,1.000000,49fcf025-22ca-4e4b-85b8-278b855e63b7
394c60c1-d7a3-4c79-a99b-56df4ef6dccc,1,27,1.000000,0062535e-d9ab-4cb0-ae8f-79133b440129
9ac7e807-30af-4967-89bc-55d97d79fa5f,1,6,1.000000,7f683754-6c34-4de6-b54f-367de9daf770
0cd48627-e0ea-4294-b394-431c0e608771,1,2,1.000000,bc89da45-e92d-43b3-82e6-e4633ecdb0db
5370b355-3384-45b0-98b0-3348e9257118,1,9,1.000000,639303f6-00f5-4aec-a487-291f27972688
96031e1b-d8af-43c7-bea5-39cba5add552,1,26,1.000000,b811ccd0-a9ef-40ef-8326-d8efbf85e50f
78f79f9f-52ef-466b-83b7-07c409ab03fa,1,15,1.000000,6703acf0-f2c1-4b80-a158-fbbe091d3948
b02227f7-9ffc-4b33-9233-d26d86575557,2,39,0.820513,bc19c32d-a271-4dd7-b5e6-62d36d1a3128
c553982f-4e11-4af5-9590-3f4b7483628c,1,12,1.000000,2dd5f116-f355-4d81-9790-cb050463be55
7a045aee-ce61-4a9a-a81e-ee14f865e0b1,1,3,1.000000,105b0c95-40d4-43ed-9328-6cbeb200183c
3a1d3864-1eef-43ef-a550-90c9c310aa23,1,30,1.000000,5f118823-51ee-47bb-859f-1316523af0ed
bd5e0240-07f8-49bb-919c-27fa5c3314a2,1,4,1.000000,71c102e5-a364-450a-b233-6c5e2976b9d1
3550998d-ed12-4aea-a180-59b55668426d,1,2,1.000000,1f84d45e-8689-42bf-9ad5-0f9c8753fbde
24ab6e2b-a977-4f07-bb45-0ab5860c3efc,1,3,1.000000,a2969fda-e1ea-4d11-8d21-b5fa826c0666
1c23605f-8b98-42f1-ba80-5016a64d5e45,1,13,1.000000,a4869a14-7941-461e-89f4-ea6e19a3866b
dc8c75c3-e1da-4aa7-b611-c4d3d7398fc0,1,2,1.000000,8758fefb-3ed1-4d64-b75d-b9e3d628eef3
37bb713f-191a-4328-9328-f3f7d644e1d7,1,14,1.000000,1bc74fba-d84b-4bcc-9386-cb329e96d9e3
d8d32a0f-89a4-4a13-9da7-01084c3db71f,1,24,1.000000,c28aa37d-571e-4b43-bf01-aa14eeb765e7
b3ff58ff-cb22-4cee-a446-4fe3f63bf1d5,1,15,1.000000,5d5b6794-5e6a-45d4-a508-e6ad12155d53
e94e9935-a4f3-4074-8118-2e95d3d105e5,1,2,1.000000,4c7e79d1-ebd0-40e5-97cc-5156fe65e1ac
273d13b9-0727-4a39-98ee-417feb272ea4,1,8,1.000000,47bad423-2418-4435-83c8-08ba94003d14
f20f5b2a-9113-4cad-bedf-5232024de9f5,1,3,1.000000,b63742da-5e1c-45af-90ad-17c4303b044e
2b7effcf-569a-4cc9-a519-8e67314c2f5d,1,3,1.000000,5f993501-e331-41f8-88ef-8789acff3d7f
4af920be-7023-45c2-a346-6d0ac83a39e4,1,1,1.000000,15c7af42-87ad-4bc8-92fa-52ae8f2040fa
d0afa947-bdd9-44f0-8d4c-eb183864fb6e,1,9,1.000000,7e2037cd-4943-4935-a393-43fc5c390c87
d07f0ed4-6401-4a5a-93ed-265f69d37f7b,1,13,1.000000,9b9c8be4-8e25-413a-8928-7da271e119ca
2397e12b-095b-42b9-8001-ea3fe1876cb1,1,18,1.000000,36027d15-9fa5-4ada-bf4b-ed5b5daa5587
8b70d0fa-71d4-4a17-98a3-a828cd61fd33,1,26,1.000000,142269c1-304f-434d-be4c-cbe566ba1379
