real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
1d39f953-a08e-494e-acf6-e594832b010a,9,80,8.888889,31
e99b3521-4e62-4230-b899-85c9dbed1921,3,11,3.666667,5
2c383b80-2256-4ece-81d4-c81290a10a14,10,58,5.800000,12
c33e02f8-4665-4d6c-8781-4a5c991889da,4,48,12.000000,36
d7969eaf-cd67-4ac5-b060-393d864f8525,32,69,2.156250,12
9a750eec-46c2-4720-b481-a0d6f03af47b,8,49,6.125000,22
1a2a7fa6-a936-4e87-a513-50ea19f0483e,3,49,16.333333,41
2657b615-04b0-4c11-8343-1245c9c07676,8,78,9.750000,29
3284e414-8b55-431b-996f-5e5cf9e96ed9,4,58,14.500000,28
2bef0281-b2d9-41ac-967c-45835e5ba8c0,41,80,1.951220,9
7ce6f4e7-3343-4519-8d80-7b97f0fa9e57,1,3,3.000000,3
ad30762b-ff39-441d-a0f7-d388fcb65c5d,5,27,5.400000,9
5ac34c91-a3b4-4a11-a940-a4babf02057f,16,71,4.437500,25
6703acf0-f2c1-4b80-a158-fbbe091d3948,19,53,2.789474,19
a3f79161-ce4f-4ec0-9c53-67b5d89375d4,1,2,2.000000,2
bb86048e-c4fd-4bc1-8fda-a4fb5b391a14,23,80,3.478261,22
1729815c-0eca-4350-ab5c-5ce2c530fcd4,19,61,3.210526,22
595525a1-8ff1-493d-bdef-74ecb74d182b,11,36,3.272727,11
8e7f3b7f-2631-4b94-a2ae-31e8f02f07cd,1,5,5.000000,5
f4f25187-82c7-4265-9bf9-71bc8ed1701f,30,71,2.366667,12
be62454c-9208-4099-9ed2-02aa2de09509,2,2,1.000000,1
b31c10f0-ddb3-4d3f-b6b1-6ac865523ec8,9,32,3.555556,10
30f64336-9100-4dbf-b67b-4a2096a38da9,17,62,3.647059,20
5e3d6bde-1451-4103-89a6-c67d81f63ed6,18,70,3.888889,31
8e72a8bd-ae9b-460b-9573-aba4b21efb12,22,76,3.454545,19
17b99863-8bfd-492d-8451-374fd7cde36c,7,62,8.857143,30
628a06f1-ca1e-4e6e-9b38-5e23da554b53,11,77,7.000000,25
15f3a523-0299-4249-8ccc-fee0b320040f,11,78,7.090909,22
8a0fe7de-deff-4ffa-acbf-192cb2d37b39,8,10,1.250000,2
f61809d2-a428-4a2c-81e4-461ea9908687,5,74,14.800000,44
68942969-0475-4a26-931b-d1d8043a659c,22,61,2.772727,16
1bc74fba-d84b-4bcc-9386-cb329e96d9e3,8,59,7.375000,15
c17f5405-360e-43d7-9b50-bccf6faf2207,14,80,5.714286,14
29cc433b-5fc2-46f5-9183-c76d4be7a356,1,1,1.000000,1
3080614b-46eb-4c0d-b1ff-b9dc13bbc44b,3,6,2.000000,3
d4be492d-c9ee-46a0-b1ab-076386b61b85,14,53,3.785714,34
4f84b332-20fa-45e8-b9e0-e9fd0839492a,13,73,5.615385,16
efca79c2-0b12-4ce7-a28f-68ad9193990d,19,78,4.105263,16
5e1920ed-d676-4151-a8ff-1153e7b7561f,3,31,10.333333,20
68e7ae29-15ff-402c-adc1-76d5a932c984,9,74,8.222222,22
b34a8c1a-f43f-4635-9799-9891ed21239a,1,1,1.000000,1
142269c1-304f-434d-be4c-cbe566ba1379,16,72,4.500000,24
b8f4eb79-baaf-442b-ada2-5bcd5cf89df4,17,78,4.588235,16
8537fdf9-7619-499b-b288-a3cfa1ee546f,3,32,10.666667,22
5e5bd954-ae5a-4f7d-a16b-85bc7f3203e5,7,77,11.000000,25
adf5227c-74ef-49bf-b9fc-2fb8cf302732,13,66,5.076923,18
4f2ed62c-2a18-4888-86c1-aa01ba21b64f,15,74,4.933333,16
8b10f12f-516a-44ee-9e79-134d040d1ef4,9,29,3.222222,16
be47e9a1-0600-40bc-8360-0fc2c99c4ca2,5,9,1.800000,3
21cbaff6-4d5f-4083-9edf-9523563b74ae,12,65,5.416667,52
4d49cfb2-841d-4a04-81cb-7d1b39a507b4,13,38,2.923077,26
9a8ce184-8911-4e32-be51-261497e0d919,3,43,14.333333,20
49fcf025-22ca-4e4b-85b8-278b855e63b7,1,39,39.000000,39
0062535e-d9ab-4cb0-ae8f-79133b440129,23,77,3.347826,19
7f683754-6c34-4de6-b54f-367de9daf770,1,13,13.000000,13
bc89da45-e92d-43b3-82e6-e4633ecdb0db,3,70,23.333333,49
639303f6-00f5-4aec-a487-291f27972688,7,22,3.142857,7
b811ccd0-a9ef-40ef-8326-d8efbf85e50f,18,71,3.944444,10
bc19c32d-a271-4dd7-b5e6-62d36d1a3128,25,79,3.160000,18
