assigned_id,nb_assigned_ids,nb_fingerprints,ownership,id_ownership
e1a31fca-3a40-4b1f-986e-fe32393e2df4,1,4,1.000000,1d39f953-a08e-494e-acf6-e594832b010a
dbd43f4a-abd5-4756-a93d-38ffc0f99415,1,1,1.000000,e99b3521-4e62-4230-b899-85c9dbed1921
5bb5728b-db60-4332-a454-d16e8b6a91cb,2,5,0.600000,2c383b80-2256-4ece-81d4-c81290a10a14
c9523016-08a6-4084-9955-930b6ea734ec,1,1,1.000000,c33e02f8-4665-4d6c-8781-4a5c991889da
6263f7cd-8569-4c72-ab15-79e6049a1e1f,1,1,1.000000,d7969eaf-cd67-4ac5-b060-393d864f8525
2b0935fe-7210-4612-abe1-06492c0a09f6,2,26,0.884615,9a750eec-46c2-4720-b481-a0d6f03af47b
9d886d7b-12f0-43af-95ed-091f34f2d383,1,1,1.000000,1a2a7fa6-a936-4e87-a513-50ea19f0483e
4488f04c-e6e4-460f-a35c-0e167ebef4d0,1,3,1.000000,2657b615-04b0-4c11-8343-1245c9c07676
3029bc43-ce40-421a-ad88-3f2eeea90365,1,1,1.000000,3284e414-8b55-431b-996f-5e5cf9e96ed9
52878794-4dcd-409f-9809-46a12fdce1c2,1,2,1.000000,2bef0281-b2d9-41ac-967c-45835e5ba8c0
8ff9123d-82ae-4c23-a923-93357780eccc,1,5,1.000000,7ce6f4e7-3343-4519-8d80-7b97f0fa9e57
b3834e90-34ba-481c-b851-bdfe96868ec9,1,3,1.000000,ad30762b-ff39-441d-a0f7-d388fcb65c5d
d56d064d-5fe9-4eb1-8ba5-db2f0cd45356,2,9,0.888889,e99b3521-4e62-4230-b899-85c9dbed1921
1692b2a9-e069-4339-93d6-57d0a03cb3be,1,1,1.000000,5ac34c91-a3b4-4a11-a940-a4babf02057f
1360ede3-fc2d-4780-89f8-0654e52f61f1,2,10,0.800000,c33e02f8-4665-4d6c-8781-4a5c991889da
a59071ca-14f9-49be-b82d-620f5aff58cf,1,1,1.000000,6703acf0-f2c1-4b80-a158-fbbe091d3948
ca2dcc95-9791-43b5-8fdc-d0196484a4f8,1,2,1.000000,a3f79161-ce4f-4ec0-9c53-67b5d89375d4
98585583-dbe2-446a-a1c8-618b807df8c3,1,1,1.000000,d7969eaf-cd67-4ac5-b060-393d864f8525
d0967323-0079-4f50-906d-859cb637aa4d,1,5,1.000000,bb86048e-c4fd-4bc1-8fda-a4fb5b391a14
6400ec06-dc5d-4dac-b860-52dec56f3366,1,15,1.000000,1a2a7fa6-a936-4e87-a513-50ea19f0483e
d9971b93-b9ad-4bae-96cb-5ddf84896263,1,7,1.000000,1729815c-0eca-4350-ab5c-5ce2c530fcd4
d156aceb-6d3f-4cc0-9614-8d3e5a3aa621,1,1,1.000000,595525a1-8ff1-493d-bdef-74ecb74d182b
228ef211-6532-4d45-a5a9-87cfea3e7f2f,1,9,1.000000,8e7f3b7f-2631-4b94-a2ae-31e8f02f07cd
b8ddfa77-0a57-4f51-b640-568e4497295a,1,57,1.000000,3284e414-8b55-431b-996f-5e5cf9e96ed9
3100ccf2-1a80-48eb-950e-956816e53d03,1,4,1.000000,f4f25187-82c7-4265-9bf9-71bc8ed1701f
fcd4096e-6256-4edc-af96-c88eef0ca1c3,1,1,1.000000,be62454c-9208-4099-9ed2-02aa2de09509
0b49974a-410c-4b65-a377-a1947370ec1a,2,7,0.571429,935eb020-a824-4cdc-9442-727a6d9e019e
4d2c7572-bb96-4e05-8a4e-9512a832809e,1,7,1.000000,30f64336-9100-4dbf-b67b-4a2096a38da9
5198e6ad-05b6-4301-9007-a558843d9a57,4,13,0.615385,17b99863-8bfd-492d-8451-374fd7cde36c
e19b6e3f-053d-42dc-8907-489be34754ec,1,2,1.000000,8e72a8bd-ae9b-460b-9573-aba4b21efb12
00237d4a-cab9-4196-b4c6-054a716fc308,1,2,1.000000,17b99863-8bfd-492d-8451-374fd7cde36c
75cc83d3-12c8-4855-b200-9c4986023efb,2,27,0.518519,5f993501-e331-41f8-88ef-8789acff3d7f
34385ca8-9c6a-4a25-967c-4287257c681c,1,1,1.000000,15f3a523-0299-4249-8ccc-fee0b320040f
f37f7a55-0372-4d87-8e0e-605a5626187e,1,2,1.000000,8a0fe7de-deff-4ffa-acbf-192cb2d37b39
4ee20610-f199-4b27-9302-52eb798dbfeb,2,76,0.513158,bc19c32d-a271-4dd7-b5e6-62d36d1a3128
3788005d-1291-4618-8025-2bf634eabe6b,3,46,0.760870,5ac34c91-a3b4-4a11-a940-a4babf02057f
62bf14f3-f1c4-4028-9408-45c2e2c7a5a2,3,41,0.682927,2c383b80-2256-4ece-81d4-c81290a10a14
8559397a-b61e-4902-b426-3e446f72f585,1,2,1.000000,6703acf0-f2c1-4b80-a158-fbbe091d3948
e6f63488-3ac4-46f4-bf8c-27bbabb359eb,1,2,1.000000,d7969eaf-cd67-4ac5-b060-393d864f8525
